family,file,variables,clauses,solver,result,time,rank
medium_suite,medium_3sat_v048_c0204.cnf,48,204,CGPM-SAT,SAT,0.1294,3
medium_suite,medium_3sat_v050_c0213.cnf,50,213,DPLL,SAT,0.0048,1
medium_suite,medium_3sat_v050_c0213.cnf,50,213,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v050_c0213.cnf,50,213,CoBD-SAT,SAT,0.0134,3
medium_suite,medium_3sat_v050_c0213.cnf,50,213,BB-CDCL,SAT,4.4208,5
medium_suite,medium_3sat_v050_c0213.cnf,50,213,LA-CDCL,SAT,0.2276,4
medium_suite,medium_3sat_v050_c0213.cnf,50,213,CGPM-SAT,SAT,0.0108,2
medium_suite,medium_3sat_v052_c0221.cnf,52,221,DPLL,SAT,0.0413,2
medium_suite,medium_3sat_v052_c0221.cnf,52,221,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v052_c0221.cnf,52,221,CoBD-SAT,SAT,0.0475,3
medium_suite,medium_3sat_v052_c0221.cnf,52,221,BB-CDCL,SAT,7.0983,5
medium_suite,medium_3sat_v052_c0221.cnf,52,221,LA-CDCL,SAT,0.0140,1
medium_suite,medium_3sat_v052_c0221.cnf,52,221,CGPM-SAT,SAT,0.0690,4
medium_suite,medium_3sat_v054_c0230.cnf,54,230,DPLL,SAT,0.0280,2
medium_suite,medium_3sat_v054_c0230.cnf,54,230,CDCL,SAT,1.5164,6
medium_suite,medium_3sat_v054_c0230.cnf,54,230,CoBD-SAT,SAT,0.0356,3
medium_suite,medium_3sat_v054_c0230.cnf,54,230,BB-CDCL,SAT,0.9939,5
medium_suite,medium_3sat_v054_c0230.cnf,54,230,LA-CDCL,SAT,0.0278,1
medium_suite,medium_3sat_v054_c0230.cnf,54,230,CGPM-SAT,SAT,0.0915,4
medium_suite,medium_3sat_v056_c0238.cnf,56,238,DPLL,SAT,0.0152,2
medium_suite,medium_3sat_v056_c0238.cnf,56,238,CDCL,SAT,2.9173,6
medium_suite,medium_3sat_v056_c0238.cnf,56,238,CoBD-SAT,SAT,0.0236,4
medium_suite,medium_3sat_v056_c0238.cnf,56,238,BB-CDCL,SAT,0.6641,5
medium_suite,medium_3sat_v056_c0238.cnf,56,238,LA-CDCL,SAT,0.0232,3
medium_suite,medium_3sat_v056_c0238.cnf,56,238,CGPM-SAT,SAT,0.0149,1
medium_suite,medium_3sat_v058_c0247.cnf,58,247,DPLL,SAT,0.3482,3
medium_suite,medium_3sat_v058_c0247.cnf,58,247,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v058_c0247.cnf,58,247,CoBD-SAT,SAT,0.3633,4
medium_suite,medium_3sat_v058_c0247.cnf,58,247,BB-CDCL,SAT,5.4439,5
medium_suite,medium_3sat_v058_c0247.cnf,58,247,LA-CDCL,SAT,0.2624,2
medium_suite,medium_3sat_v058_c0247.cnf,58,247,CGPM-SAT,SAT,0.0733,1
medium_suite,medium_3sat_v060_c0255.cnf,60,255,DPLL,SAT,0.0431,2
medium_suite,medium_3sat_v060_c0255.cnf,60,255,CDCL,SAT,24.1862,6
medium_suite,medium_3sat_v060_c0255.cnf,60,255,CoBD-SAT,SAT,0.0509,3
medium_suite,medium_3sat_v060_c0255.cnf,60,255,BB-CDCL,SAT,2.9992,5
medium_suite,medium_3sat_v060_c0255.cnf,60,255,LA-CDCL,SAT,0.3043,4
medium_suite,medium_3sat_v060_c0255.cnf,60,255,CGPM-SAT,SAT,0.0106,1
medium_suite,medium_3sat_v062_c0264.cnf,62,264,DPLL,UNSAT,1.3820,4
medium_suite,medium_3sat_v062_c0264.cnf,62,264,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v062_c0264.cnf,62,264,CoBD-SAT,UNSAT,1.3797,3
medium_suite,medium_3sat_v062_c0264.cnf,62,264,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v062_c0264.cnf,62,264,LA-CDCL,UNSAT,0.9490,2
medium_suite,medium_3sat_v062_c0264.cnf,62,264,CGPM-SAT,UNSAT,0.2853,1
medium_suite,medium_3sat_v064_c0272.cnf,64,272,DPLL,SAT,0.0669,1
medium_suite,medium_3sat_v064_c0272.cnf,64,272,CDCL,SAT,1.2451,5
medium_suite,medium_3sat_v064_c0272.cnf,64,272,CoBD-SAT,SAT,0.0806,2
medium_suite,medium_3sat_v064_c0272.cnf,64,272,BB-CDCL,SAT,5.8920,6
medium_suite,medium_3sat_v064_c0272.cnf,64,272,LA-CDCL,SAT,0.1417,3
medium_suite,medium_3sat_v064_c0272.cnf,64,272,CGPM-SAT,SAT,0.3728,4
medium_suite,medium_3sat_v066_c0281.cnf,66,281,DPLL,UNSAT,0.7450,2
medium_suite,medium_3sat_v066_c0281.cnf,66,281,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v066_c0281.cnf,66,281,CoBD-SAT,UNSAT,0.7663,3
medium_suite,medium_3sat_v066_c0281.cnf,66,281,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v066_c0281.cnf,66,281,LA-CDCL,UNSAT,2.0333,4
medium_suite,medium_3sat_v066_c0281.cnf,66,281,CGPM-SAT,UNSAT,0.3534,1
medium_suite,medium_3sat_v068_c0289.cnf,68,289,DPLL,UNSAT,1.4689,2
medium_suite,medium_3sat_v068_c0289.cnf,68,289,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v068_c0289.cnf,68,289,CoBD-SAT,UNSAT,1.4950,3
medium_suite,medium_3sat_v068_c0289.cnf,68,289,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v068_c0289.cnf,68,289,LA-CDCL,UNSAT,6.7813,4
medium_suite,medium_3sat_v068_c0289.cnf,68,289,CGPM-SAT,UNSAT,0.3666,1
medium_suite,medium_3sat_v070_c0298.cnf,70,298,DPLL,UNSAT,8.7902,3
medium_suite,medium_3sat_v070_c0298.cnf,70,298,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v070_c0298.cnf,70,298,CoBD-SAT,UNSAT,8.7727,2
medium_suite,medium_3sat_v070_c0298.cnf,70,298,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v070_c0298.cnf,70,298,LA-CDCL,UNSAT,9.6877,4
medium_suite,medium_3sat_v070_c0298.cnf,70,298,CGPM-SAT,UNSAT,0.7726,1
medium_suite,medium_3sat_v072_c0306.cnf,72,306,DPLL,UNSAT,3.3607,3
medium_suite,medium_3sat_v072_c0306.cnf,72,306,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v072_c0306.cnf,72,306,CoBD-SAT,UNSAT,3.3658,4
medium_suite,medium_3sat_v072_c0306.cnf,72,306,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v072_c0306.cnf,72,306,LA-CDCL,UNSAT,2.8104,2
medium_suite,medium_3sat_v072_c0306.cnf,72,306,CGPM-SAT,UNSAT,0.8687,1
medium_suite,medium_3sat_v074_c0315.cnf,74,315,DPLL,SAT,1.4064,2
medium_suite,medium_3sat_v074_c0315.cnf,74,315,CDCL,SAT,4.7187,5
medium_suite,medium_3sat_v074_c0315.cnf,74,315,CoBD-SAT,SAT,1.4407,3
medium_suite,medium_3sat_v074_c0315.cnf,74,315,BB-CDCL,SAT,21.1826,6
medium_suite,medium_3sat_v074_c0315.cnf,74,315,LA-CDCL,SAT,2.4769,4
medium_suite,medium_3sat_v074_c0315.cnf,74,315,CGPM-SAT,SAT,0.2328,1
medium_suite,medium_3sat_v076_c0323.cnf,76,323,DPLL,SAT,3.1221,4
medium_suite,medium_3sat_v076_c0323.cnf,76,323,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v076_c0323.cnf,76,323,CoBD-SAT,SAT,3.1743,5
medium_suite,medium_3sat_v076_c0323.cnf,76,323,BB-CDCL,SAT,2.6649,3
medium_suite,medium_3sat_v076_c0323.cnf,76,323,LA-CDCL,SAT,0.0381,1
medium_suite,medium_3sat_v076_c0323.cnf,76,323,CGPM-SAT,SAT,0.2982,2
